date,daily_total,dow,week_weekend,device,temp,prcp
2015-09-09,20976,Wed,Weekday,Accupedo,14.6,0
2015-09-10,30793,Thu,Weekday,Accupedo,13.9,0
2015-09-11,28284,Fri,Weekday,Accupedo,14.3,0
2015-09-12,27452,Sat,Weekend,Accupedo,16.2,2
2015-09-13,5732,Sun,Weekend,Accupedo,14.9,3
2015-09-14,19240,Mon,Weekday,Accupedo,13.8,6.1
2015-09-15,23395,Tue,Weekday,Accupedo,13.2,0
2015-09-16,21397,Wed,Weekday,Accupedo,15.4,1
2015-09-17,28030,Thu,Weekday,Accupedo,14.3,7.9
2015-09-18,29515,Fri,Weekday,Accupedo,13.7,0
2015-09-19,19616,Sat,Weekend,Accupedo,13.4,0.3
2015-09-20,20097,Sun,Weekend,Accupedo,13.4,0
2015-09-21,23650,Mon,Weekday,Accupedo,13.1,0
2015-09-22,26103,Tue,Weekday,Accupedo,12.4,2
2015-09-23,23233,Wed,Weekday,Accupedo,12.2,7.9
2015-09-24,20718,Thu,Weekday,Accupedo,13.2,1
2015-09-25,30007,Fri,Weekday,Accupedo,12.6,0
2015-09-26,14358,Sat,Weekend,Accupedo,10.4,0
2015-09-27,45260,Sun,Weekend,Accupedo,10.6,0
2015-09-28,17992,Mon,Weekday,Accupedo,10.4,0
2015-09-29,19244,Tue,Weekday,Accupedo,10.7,0
2015-09-30,27341,Wed,Weekday,Accupedo,10.9,0
2015-10-01,19643,Thu,Weekday,Accupedo,10,0
2015-10-02,9202,Fri,Weekday,Accupedo,9.8,0
2015-10-03,14383,Sat,Weekend,Accupedo,11.9,0
2015-10-04,7851,Sun,Weekend,Accupedo,12.2,0
2015-10-05,15850,Mon,Weekday,Accupedo,13.6,0
2015-10-06,27838,Tue,Weekday,Accupedo,15.7,11.7
2015-10-07,22211,Wed,Weekday,Accupedo,13.7,0.5
2015-10-08,25128,Thu,Weekday,Accupedo,11.8,0.5
2015-10-09,29136,Fri,Weekday,Accupedo,10.1,0
2015-10-10,24729,Sat,Weekend,Accupedo,9.6,0
2015-10-11,10248,Sun,Weekend,Accupedo,6.5,0
2015-10-12,15516,Mon,Weekday,Accupedo,5.1,0
2015-10-13,17391,Tue,Weekday,Accupedo,3.7,0
2015-10-14,21489,Wed,Weekday,Accupedo,4.1,4.1
2015-10-15,21596,Thu,Weekday,Accupedo,4.3,2
2015-10-16,19922,Fri,Weekday,Accupedo,6.7,4.8
2015-10-17,6288,Sat,Weekend,Accupedo,7.6,3.3
2015-10-18,23374,Sun,Weekend,Accupedo,8.4,0
2015-10-19,14348,Mon,Weekday,Accupedo,10.3,0
2015-10-20,21769,Tue,Weekday,Accupedo,8.9,0
2015-10-21,16738,Wed,Weekday,Accupedo,9.3,0
2015-10-22,18726,Thu,Weekday,Accupedo,11.8,0
2015-10-23,21185,Fri,Weekday,Accupedo,10.9,0
2015-10-24,11465,Sat,Weekend,Accupedo,11.2,0
2015-10-25,5614,Sun,Weekend,Accupedo,10.6,0.3
2015-10-26,26903,Mon,Weekday,Accupedo,9.9,0
2015-10-27,10152,Tue,Weekday,Accupedo,12,0
2015-10-28,20633,Wed,Weekday,Accupedo,12.7,0
2015-10-29,24718,Thu,Weekday,Accupedo,10.8,0
2015-10-30,21133,Fri,Weekday,Accupedo,10.4,0
